t / fs	F(t)*F(0) / (kcal/mole/A)^2	err[F(t)*F(0)] / (kcal/mole/A)^2	lambda / N*s/m^3	err[lambda] / N*s/m^3
0.00	145.440333	1.544175	0.000000	0.000000
1.00	145.405695	1.544112	6315.469703	67.059465
2.00	145.301925	1.543917	12627.934001	134.113326
3.00	145.129419	1.543592	18934.399216	201.155879
4.00	144.888836	1.543137	25231.894566	268.181447
5.00	144.581083	1.542554	31517.483265	335.184389
6.00	144.207310	1.541845	37788.273212	402.159120
7.00	143.768892	1.541013	44041.427144	469.100121
8.00	143.267419	1.540059	50274.172161	536.001952
9.00	142.704671	1.538987	56483.808527	602.859264
10.00	142.082604	1.537801	62667.717669	669.666813
11.00	141.403330	1.536505	68823.369330	736.419462
12.00	140.669094	1.535101	74948.327839	803.112199
13.00	139.882253	1.533594	81040.257474	869.740139
14.00	139.045258	1.531989	87096.926924	936.298531
15.00	138.160632	1.530290	93116.212856	1002.782767
16.00	137.230949	1.528501	99096.102624	1069.188380
17.00	136.258818	1.526627	105034.696149	1135.511054
18.00	135.246865	1.524673	110930.207016	1201.746620
19.00	134.197717	1.522642	116780.962860	1267.891064
20.00	133.113986	1.520539	122585.405077	1333.940522
21.00	131.998258	1.518369	128342.087940	1399.891282
22.00	130.853080	1.516135	134049.677190	1465.739783
23.00	129.680952	1.513843	139706.948147	1531.482615
24.00	128.484316	1.511496	145312.783438	1597.116515
25.00	127.265550	1.509097	150866.170372	1662.638369
26.00	126.026965	1.506651	156366.198055	1728.045205
27.00	124.770794	1.504161	161812.054276	1793.334194
28.00	123.499198	1.501632	167203.022236	1858.502645
29.00	122.214255	1.499065	172538.477152	1923.548005
30.00	120.917963	1.496465	177817.882789	1988.467850
31.00	119.612241	1.493834	183040.787958	2053.259890
32.00	118.298926	1.491175	188206.823002	2117.921959
33.00	116.979774	1.488492	193315.696301	2182.452016
34.00	115.656464	1.485786	198367.190827	2246.848140
35.00	114.330596	1.483060	203361.160745	2311.108528
36.00	113.003696	1.480317	208297.528089	2375.231492
37.00	111.677213	1.477559	213176.279514	2439.215455
38.00	110.352528	1.474788	217997.463120	2503.058954
39.00	109.030948	1.472006	222761.185371	2566.760632
40.00	107.713714	1.469215	227467.608073	2630.319236
41.00	106.402000	1.466417	232116.945442	2693.733619
42.00	105.096913	1.463614	236709.461232	2757.002736
43.00	103.799497	1.460808	241245.465928	2820.125641
44.00	102.510734	1.458001	245725.313994	2883.101487
45.00	101.231543	1.455193	250149.401172	2945.929524
46.00	99.962784	1.452388	254518.161823	3008.609096
47.00	98.705255	1.449586	258832.066309	3071.139641
48.00	97.459696	1.446788	263091.618408	3133.520688
49.00	96.226789	1.443997	267297.352767	3195.751851
50.00	95.007158	1.441214	271449.832383	3257.832835
51.00	93.801370	1.438440	275549.646125	3319.763426
52.00	92.609937	1.435677	279597.406284	3381.543490
53.00	91.433315	1.432925	283593.746172	3443.172975
54.00	90.271907	1.430186	287539.317760	3504.651901
55.00	89.126063	1.427461	291434.789372	3565.980360
56.00	87.996083	1.424751	295280.843435	3627.158512
57.00	86.882216	1.422057	299078.174292	3688.186582
58.00	85.784663	1.419380	302827.486094	3749.064856
59.00	84.703583	1.416721	306529.490767	3809.793673
60.00	83.639085	1.414079	310184.906066	3870.373429
61.00	82.591242	1.411457	313794.453725	3930.804563
62.00	81.560085	1.408854	317358.857703	3991.087561
63.00	80.545610	1.406271	320878.842539	4051.222946
64.00	79.547776	1.403708	324355.131807	4111.211277
65.00	78.566513	1.401166	327788.446695	4171.053145
66.00	77.601721	1.398644	331179.504687	4230.749168
67.00	76.653274	1.396144	334529.018360	4290.299990
68.00	75.721023	1.393664	337837.694302	4349.706274
69.00	74.804796	1.391205	341106.232135	4408.968699
70.00	73.904403	1.388767	344335.323651	4468.087962
71.00	73.019640	1.386350	347525.652051	4527.064772
72.00	72.150285	1.383953	350677.891293	4585.899845
73.00	71.296108	1.381577	353792.705531	4644.593907
74.00	70.456866	1.379221	356870.748644	4703.147688
75.00	69.632311	1.376885	359912.663856	4761.561921
76.00	68.822187	1.374568	362919.083428	4819.837342
77.00	68.026234	1.372270	365890.628422	4877.974688
78.00	67.244188	1.369992	368827.908533	4935.974694
79.00	66.475784	1.367731	371731.521974	4993.838092
80.00	65.720756	1.365489	374602.055410	5051.565610
81.00	64.978838	1.363264	377440.083944	5109.157971
82.00	64.249763	1.361056	380246.171123	5166.615893
83.00	63.533267	1.358864	383020.868994	5223.940083
84.00	62.829089	1.356689	385764.718174	5281.131242
85.00	62.136969	1.354529	388478.247944	5338.190059
86.00	61.456649	1.352383	391161.976360	5395.117211
87.00	60.787875	1.350252	393816.410376	5451.913364
88.00	60.130397	1.348135	396442.045981	5508.579171
89.00	59.483967	1.346032	399039.368338	5565.115270
90.00	58.848340	1.343941	401608.851934	5621.522284
91.00	58.223276	1.341862	404150.960728	5677.800822
92.00	57.608539	1.339795	406666.148312	5733.951477
93.00	57.003894	1.337739	409154.858064	5789.974826
94.00	56.409112	1.335694	411617.523317	5845.871432
95.00	55.823969	1.333660	414054.567516	5901.641840
96.00	55.248241	1.331636	416466.404390	5957.286580
97.00	54.681711	1.329622	418853.438126	6012.806168
98.00	54.124166	1.327618	421216.063543	6068.201105
99.00	53.575395	1.325623	423554.666274	6123.471875
100.00	53.035195	1.323637	425869.622955	6178.618950
101.00	52.503365	1.321660	428161.301417	6233.642788
102.00	51.979708	1.319693	430430.060888	6288.543833
103.00	51.464034	1.317735	432676.252201	6343.322519
104.00	50.956158	1.315786	434900.218003	6397.979264
105.00	50.455897	1.313846	437102.292981	6452.514480
106.00	49.963078	1.311916	439282.804086	6506.928564
107.00	49.477529	1.309995	441442.070763	6561.221906
108.00	48.999086	1.308084	443580.405190	6615.394888
109.00	48.527590	1.306183	445698.112521	6669.447882
110.00	48.062888	1.304292	447795.491122	6723.381256
111.00	47.604831	1.302412	449872.832821	6777.195369
112.00	47.153279	1.300542	451930.423149	6830.890574
113.00	46.708093	1.298684	453968.541586	6884.467218
114.00	46.269144	1.296836	455987.461798	6937.925645
115.00	45.836305	1.295000	457987.451875	6991.266193
116.00	45.409455	1.293176	459968.774558	7044.489195
117.00	44.988480	1.291364	461931.687466	7097.594982
118.00	44.573269	1.289564	463876.443306	7150.583877
119.00	44.163715	1.287777	465803.290083	7203.456203
120.00	43.759717	1.286001	467712.471294	7256.212275
121.00	43.361178	1.284239	469604.226111	7308.852406
122.00	42.968004	1.282489	471478.789556	7361.376902
123.00	42.580104	1.280751	473336.392662	7413.786066
124.00	42.197393	1.279027	475177.262624	7466.080192
125.00	41.819786	1.277315	477001.622938	7518.259571
126.00	41.447203	1.275615	478809.693526	7570.324489
127.00	41.079565	1.273928	480601.690855	7622.275226
128.00	40.716797	1.272254	482377.828046	7674.112058
129.00	40.358824	1.270592	484138.314965	7725.835257
130.00	40.005575	1.268943	485883.358315	7777.445088
131.00	39.656979	1.267305	487613.161720	7828.941818
132.00	39.312969	1.265680	489327.925794	7880.325707
133.00	38.973478	1.264066	491027.848216	7931.597018
134.00	38.638439	1.262465	492713.123788	7982.756014
135.00	38.307789	1.260875	494383.944501	8033.802959
136.00	37.981465	1.259298	496040.499589	8084.738123
137.00	37.659405	1.257732	497682.975588	8135.561782
138.00	37.341550	1.256178	499311.556386	8186.274216
139.00	37.027839	1.254637	500926.423278	8236.875718
140.00	36.718216	1.253107	502527.755022	8287.366590
141.00	36.412623	1.251590	504115.727886	8337.747151
142.00	36.111006	1.250086	505690.515704	8388.017731
143.00	35.813309	1.248594	507252.289930	8438.178681
144.00	35.519480	1.247116	508801.219693	8488.230371
145.00	35.229468	1.245651	510337.471846	8538.173190
146.00	34.943221	1.244201	511861.211026	8588.007554
147.00	34.660690	1.242765	513372.599704	8637.733900
148.00	34.381829	1.241344	514871.798238	8687.352695
149.00	34.106589	1.239939	516358.964931	8736.864432
150.00	33.834925	1.238549	517834.256074	8786.269630
151.00	33.566792	1.237177	519297.826003	8835.568841
152.00	33.302148	1.235822	520749.827142	8884.762644
153.00	33.040949	1.234484	522190.410048	8933.851649
154.00	32.783154	1.233165	523619.723454	8982.836496
155.00	32.528722	1.231866	525037.914309	9031.717854
156.00	32.277614	1.230585	526445.127808	9080.496422
157.00	32.029790	1.229325	527841.507431	9129.172923
158.00	31.785212	1.228086	529227.194965	9177.748108
159.00	31.543841	1.226867	530602.330531	9226.222755
160.00	31.305640	1.225671	531967.052608	9274.597663
161.00	31.070571	1.224495	533321.498041	9322.873651
162.00	30.838598	1.223343	534665.802066	9371.051560
163.00	30.609684	1.222212	536000.098313	9419.132247
164.00	30.383791	1.221104	537324.518819	9467.116584
165.00	30.160884	1.220018	538639.194032	9515.005455
166.00	29.940926	1.218956	539944.252819	9562.799753
167.00	29.723881	1.217916	541239.822465	9610.500382
168.00	29.509713	1.216898	542526.028678	9658.108247
169.00	29.298384	1.215902	543802.995591	9705.624258
170.00	29.089860	1.214929	545070.845768	9753.049323
171.00	28.884104	1.213977	546329.700199	9800.384347
172.00	28.681079	1.213046	547579.678310	9847.630231
173.00	28.480751	1.212137	548820.897963	9894.787865
174.00	28.283083	1.211247	550053.475467	9941.858132
175.00	28.088039	1.210377	551277.525580	9988.841900
176.00	27.895585	1.209526	552493.161518	10035.740024
177.00	27.705685	1.208693	553700.494969	10082.553339
178.00	27.518305	1.207878	554899.636103	10129.282666
179.00	27.333409	1.207079	556090.693586	10175.928800
180.00	27.150964	1.206296	557273.774590	10222.492519
181.00	26.970936	1.205529	558448.984813	10268.974571
182.00	26.793292	1.204775	559616.428495	10315.375685
183.00	26.617998	1.204035	560776.208432	10361.696559
184.00	26.445023	1.203308	561928.425999	10407.937864
185.00	26.274333	1.202591	563073.181159	10454.100244
186.00	26.105896	1.201886	564210.572488	10500.184311
187.00	25.939683	1.201190	565340.697190	10546.190648
188.00	25.775661	1.200502	566463.651108	10592.119808
189.00	25.613799	1.199823	567579.528748	10637.972311
190.00	25.454068	1.199150	568688.423286	10683.748648
191.00	25.296437	1.198484	569790.426582	10729.449278
192.00	25.140877	1.197823	570885.629197	10775.074629
193.00	24.987357	1.197167	571974.120397	10820.625100
194.00	24.835848	1.196514	573055.988164	10866.101061
195.00	24.686321	1.195864	574131.319207	10911.502852
196.00	24.538747	1.195217	575200.198961	10956.830785
197.00	24.393097	1.194572	576262.711598	11002.085143
198.00	24.249341	1.193927	577318.940028	11047.266187
199.00	24.107451	1.193284	578368.965901	11092.374152
200.00	23.967397	1.192641	579412.869607	11137.409247
201.00	23.829151	1.191997	580450.730281	11182.371661
202.00	23.692684	1.191352	581482.625799	11227.261565
203.00	23.557967	1.190707	582508.632778	11272.079106
204.00	23.424970	1.190060	583528.826576	11316.824417
205.00	23.293665	1.189411	584543.281294	11361.497613
206.00	23.164023	1.188761	585552.069774	11406.098793
207.00	23.036015	1.188108	586555.263602	11450.628043
208.00	22.909612	1.187452	587552.933107	11495.085435
209.00	22.784785	1.186794	588545.147370	11539.471030
210.00	22.661505	1.186133	589531.974220	11583.784879
211.00	22.539745	1.185469	590513.480247	11628.027025
212.00	22.419476	1.184802	591489.730806	11672.197503
213.00	22.300669	1.184132	592460.790025	11716.296340
214.00	22.183296	1.183458	593426.720817	11760.323560
215.00	22.067331	1.182782	594387.584892	11804.279182
216.00	21.952746	1.182102	595343.442765	11848.163225
217.00	21.839514	1.181418	596294.353779	11891.975704
218.00	21.727608	1.180732	597240.376113	11935.716637
219.00	21.617002	1.180042	598181.566804	11979.386041
220.00	21.507671	1.179349	599117.981762	12022.983935
221.00	21.399590	1.178653	600049.675793	12066.510337
222.00	21.292733	1.177954	600976.702612	12109.965275
223.00	21.187076	1.177252	601899.114872	12153.348777
224.00	21.082595	1.176548	602816.964175	12196.660880
225.00	20.979267	1.175840	603730.301103	12239.901624
226.00	20.877070	1.175131	604639.175234	12283.071061
227.00	20.775980	1.174419	605543.635162	12326.169250
228.00	20.675977	1.173706	606443.728523	12369.196263
229.00	20.577038	1.172991	607339.502015	12412.152179
230.00	20.479142	1.172276	608231.001417	12455.037094
231.00	20.382270	1.171559	609118.271611	12497.851112
232.00	20.286401	1.170842	610001.356602	12540.594355
233.00	20.191516	1.170126	610880.299536	12583.266957
234.00	20.097596	1.169410	611755.142721	12625.869067
235.00	20.004621	1.168695	612625.927642	12668.400850
236.00	19.912574	1.167982	613492.694976	12710.862484
237.00	19.821436	1.167271	614355.484614	12753.254161
238.00	19.731191	1.166562	615214.335670	12795.576088
239.00	19.641819	1.165856	616069.286497	12837.828483
240.00	19.553305	1.165154	616920.374699	12880.011580
241.00	19.465632	1.164456	617767.637145	12922.125622
242.00	19.378783	1.163762	618611.109978	12964.170863
243.00	19.292741	1.163073	619450.828629	13006.147567
244.00	19.207491	1.162389	620286.827824	13048.056007
245.00	19.123016	1.161711	621119.141596	13089.896467
246.00	19.039302	1.161039	621947.803296	13131.669235
247.00	18.956332	1.160373	622772.845602	13173.374608
248.00	18.874092	1.159714	623594.300528	13215.012890
249.00	18.792567	1.159061	624412.199439	13256.584389
250.00	18.711742	1.158417	625226.573057	13298.089420
251.00	18.631603	1.157780	626037.451475	13339.528301
252.00	18.552136	1.157151	626844.864170	13380.901358
253.00	18.473326	1.156531	627648.840013	13422.208916
254.00	18.395161	1.155919	628449.407280	13463.451308
255.00	18.317627	1.155316	629246.593671	13504.628867
256.00	18.240711	1.154722	630040.426318	13545.741933
257.00	18.164401	1.154137	630830.931800	13586.790847
258.00	18.088684	1.153562	631618.136157	13627.775952
259.00	18.013549	1.152996	632402.064900	13668.697594
260.00	17.938984	1.152439	633182.743030	13709.556123
261.00	17.864977	1.151892	633960.195047	13750.351890
262.00	17.791518	1.151355	634734.444960	13791.085246
263.00	17.718595	1.150827	635505.516304	13831.756546
264.00	17.646197	1.150308	636273.432144	13872.366147
265.00	17.574316	1.149799	637038.215090	13912.914406
266.00	17.502939	1.149299	637799.887303	13953.401683
267.00	17.432057	1.148807	638558.470501	13993.828342
268.00	17.361661	1.148325	639313.985965	14034.194747
269.00	17.291739	1.147850	640066.454546	14074.501268
270.00	17.222283	1.147384	640815.896664	14114.748275
271.00	17.153283	1.146925	641562.332314	14154.936144
272.00	17.084728	1.146474	642305.781063	14195.065250
273.00	17.016608	1.146031	643046.262050	14235.135976
274.00	16.948915	1.145594	643783.793985	14275.148705
275.00	16.881638	1.145163	644518.395146	14315.103824
276.00	16.814766	1.144739	645250.083375	14355.001724
277.00	16.748290	1.144320	645978.876075	14394.842800
278.00	16.682199	1.143908	646704.790203	14434.627448
279.00	16.616484	1.143500	647427.842271	14474.356071
280.00	16.551132	1.143098	648148.048337	14514.029070
281.00	16.486135	1.142700	648865.424006	14553.646852
282.00	16.421482	1.142307	649579.984425	14593.209823
283.00	16.357161	1.141918	650291.744284	14632.718391
284.00	16.293163	1.141533	651000.717817	14672.172964
285.00	16.229477	1.141152	651706.918804	14711.573947
286.00	16.166093	1.140774	652410.360574	14750.921746
287.00	16.103001	1.140400	653111.056014	14790.216763
288.00	16.040190	1.140029	653809.017578	14829.459395
289.00	15.977652	1.139660	654504.257295	14868.650035
290.00	15.915376	1.139295	655196.786782	14907.789073
291.00	15.853354	1.138931	655886.617261	14946.876887
292.00	15.791578	1.138570	656573.759572	14985.913848
293.00	15.730039	1.138211	657258.224195	15024.900319
294.00	15.668729	1.137854	657940.021261	15063.836650
295.00	15.607642	1.137499	658619.160582	15102.723175
296.00	15.546770	1.137145	659295.651664	15141.560216
297.00	15.486107	1.136792	659969.503731	15180.348077
298.00	15.425648	1.136439	660640.725745	15219.087043
299.00	15.365387	1.136088	661309.326429	15257.777380
300.00	15.305320	1.135736	661975.314285	15296.419330
301.00	15.245441	1.135385	662638.697616	15335.013112
302.00	15.185748	1.135033	663299.484543	15373.558919
303.00	15.126236	1.134681	663957.683022	15412.056918
304.00	15.066902	1.134327	664613.300864	15450.507245
305.00	15.007743	1.133972	665266.345747	15488.910009
306.00	14.948758	1.133615	665916.825230	15527.265285
307.00	14.889942	1.133256	666564.746766	15565.573118
308.00	14.831295	1.132895	667210.117711	15603.833516
309.00	14.772815	1.132530	667852.945335	15642.046457
310.00	14.714499	1.132163	668493.236827	15680.211885
311.00	14.656346	1.131792	669130.999303	15718.329707
312.00	14.598355	1.131417	669766.239808	15756.399797
313.00	14.540523	1.131038	670398.965323	15794.421998
314.00	14.482851	1.130654	671029.182765	15832.396118
315.00	14.425335	1.130267	671656.898993	15870.321935
316.00	14.367975	1.129874	672282.120801	15908.199200
317.00	14.310770	1.129477	672904.854927	15946.027631
318.00	14.253718	1.129074	673525.108047	15983.806923
319.00	14.196817	1.128667	674142.886778	16021.536747
320.00	14.140067	1.128255	674758.197675	16059.216752
321.00	14.083465	1.127837	675371.047233	16096.846567
322.00	14.027011	1.127415	675981.441885	16134.425806
323.00	13.970703	1.126988	676589.388003	16171.954068
324.00	13.914539	1.126557	677194.891900	16209.430941
325.00	13.858519	1.126121	677797.959828	16246.856006
326.00	13.802641	1.125682	678398.597981	16284.228837
327.00	13.746904	1.125238	678996.812500	16321.549009
328.00	13.691306	1.124791	679592.609471	16358.816096
329.00	13.635847	1.124342	680185.994931	16396.029673
330.00	13.580525	1.123890	680776.974874	16433.189324
331.00	13.525340	1.123436	681365.555251	16470.294640
332.00	13.470290	1.122981	681951.741979	16507.345223
333.00	13.415376	1.122524	682535.540945	16544.340689
334.00	13.360597	1.122068	683116.958009	16581.280668
335.00	13.305952	1.121612	683695.999016	16618.164808
336.00	13.251441	1.121157	684272.669795	16654.992775
337.00	13.197064	1.120704	684846.976171	16691.764256
338.00	13.142821	1.120253	685418.923966	16728.478958
339.00	13.088713	1.119805	685988.519010	16765.136612
340.00	13.034739	1.119361	686555.767139	16801.736969
341.00	12.980900	1.118920	687120.674210	16838.279805
342.00	12.927197	1.118485	687683.246098	16874.764917
343.00	12.873630	1.118054	688243.488706	16911.192123
344.00	12.820200	1.117629	688801.407968	16947.561264
345.00	12.766908	1.117210	689357.009851	16983.872201
346.00	12.713754	1.116798	689910.300365	17020.124813
347.00	12.660741	1.116392	690461.285563	17056.318996
348.00	12.607869	1.115993	691009.971545	17092.454665
349.00	12.555139	1.115601	691556.364466	17128.531746
350.00	12.502552	1.115217	692100.470536	17164.550181
351.00	12.450111	1.114839	692642.296025	17200.509921
352.00	12.397817	1.114469	693181.847269	17236.410927
353.00	12.345671	1.114106	693719.130675	17272.253169
354.00	12.293675	1.113750	694254.152725	17308.036625
355.00	12.241831	1.113400	694786.919980	17343.761276
356.00	12.190141	1.113058	695317.439087	17379.427108
357.00	12.138607	1.112721	695845.716785	17415.034110
358.00	12.087232	1.112391	696371.759912	17450.582276
359.00	12.036018	1.112066	696895.575407	17486.071602
360.00	11.984968	1.111746	697417.170321	17521.502086
361.00	11.934084	1.111431	697936.551821	17556.873730
362.00	11.883369	1.111120	698453.727196	17592.186535
363.00	11.832827	1.110813	698968.703863	17627.440509
364.00	11.782460	1.110510	699481.489373	17662.635658
365.00	11.732272	1.110209	699992.091414	17697.771996
366.00	11.682265	1.109911	700500.517817	17732.849536
367.00	11.632444	1.109614	701006.776557	17767.868298
368.00	11.582812	1.109319	701510.875756	17802.828310
369.00	11.533372	1.109024	702012.823685	17837.729602
370.00	11.484127	1.108730	702512.628757	17872.572215
371.00	11.435081	1.108435	703010.299535	17907.356195
372.00	11.386238	1.108139	703505.844721	17942.081599
373.00	11.337599	1.107842	703999.273155	17976.748494
374.00	11.289168	1.107543	704490.593808	18011.356958
375.00	11.240948	1.107241	704979.815774	18045.907080
376.00	11.192941	1.106936	705466.948262	18080.398963
377.00	11.145150	1.106628	705952.000588	18114.832722
378.00	11.097577	1.106316	706434.982158	18149.208490
379.00	11.050223	1.105999	706915.902462	18183.526412
380.00	11.003090	1.105677	707394.771055	18217.786651
381.00	10.956178	1.105350	707871.597548	18251.989384
382.00	10.909489	1.105017	708346.391588	18286.134805
383.00	10.863023	1.104677	708819.162845	18320.223124
384.00	10.816780	1.104331	709289.920998	18354.254568
385.00	10.770759	1.103977	709758.675713	18388.229380
386.00	10.724960	1.103616	710225.436633	18422.147819
387.00	10.679381	1.103248	710690.213358	18456.010158
388.00	10.634021	1.102871	711153.015430	18489.816688
389.00	10.588878	1.102486	711613.852316	18523.567713
390.00	10.543950	1.102092	712072.733395	18557.263551
391.00	10.499235	1.101690	712529.667941	18590.904534
392.00	10.454728	1.101279	712984.665111	18624.491004
393.00	10.410428	1.100859	713437.733930	18658.023316
394.00	10.366331	1.100430	713888.883280	18691.501837
395.00	10.322433	1.099993	714338.121885	18724.926940
396.00	10.278730	1.099547	714785.458304	18758.299012
397.00	10.235218	1.099092	715230.900919	18791.618443
398.00	10.191892	1.098628	715674.457923	18824.885630
399.00	10.148748	1.098157	716116.137317	18858.100978
400.00	10.105782	1.097678	716555.946900	18891.264896
401.00	10.062987	1.097191	716993.894261	18924.377796
402.00	10.020361	1.096697	717429.986776	18957.440095
403.00	9.977896	1.096196	717864.231601	18990.452213
404.00	9.935588	1.095689	718296.635671	19023.414573
405.00	9.893433	1.095176	718727.205695	19056.327598
406.00	9.851423	1.094659	719155.948150	19089.191717
407.00	9.809555	1.094136	719582.869287	19122.007359
408.00	9.767823	1.093610	720007.975123	19154.774958
409.00	9.726222	1.093081	720431.271447	19187.494948
410.00	9.684746	1.092549	720852.763814	19220.167770
411.00	9.643390	1.092016	721272.457551	19252.793866
412.00	9.602149	1.091482	721690.357757	19285.373684
413.00	9.561017	1.090947	722106.469304	19317.907675
414.00	9.519990	1.090413	722520.796840	19350.396297
415.00	9.479062	1.089881	722933.344792	19382.840012
416.00	9.438228	1.089351	723344.117372	19415.239288
417.00	9.397485	1.088824	723753.118574	19447.594600
418.00	9.356826	1.088300	724160.352184	19479.906426
419.00	9.316247	1.087781	724565.821782	19512.175256
420.00	9.275743	1.087268	724969.530747	19544.401582
421.00	9.235311	1.086761	725371.482260	19576.585909
422.00	9.194945	1.086260	725771.679310	19608.728745
423.00	9.154642	1.085767	726170.124703	19640.830611
424.00	9.114397	1.085281	726566.821064	19672.892035
425.00	9.074207	1.084805	726961.770844	19704.913556
426.00	9.034067	1.084338	727354.976329	19736.895725
427.00	8.993975	1.083880	727746.439644	19768.839103
428.00	8.953926	1.083433	728136.162764	19800.744263
429.00	8.913918	1.082997	728524.147522	19832.611794
430.00	8.873947	1.082572	728910.395617	19864.442295
431.00	8.834012	1.082159	729294.908624	19896.236380
432.00	8.794109	1.081759	729677.688006	19927.994675
433.00	8.754236	1.081370	730058.735126	19959.717822
434.00	8.714392	1.080995	730438.051255	19991.406474
435.00	8.674574	1.080632	730815.637593	20023.061298
436.00	8.634782	1.080282	731191.495276	20054.682970
437.00	8.595015	1.079946	731565.625397	20086.272177
438.00	8.555272	1.079622	731938.029016	20117.829615
439.00	8.515552	1.079312	732308.707182	20149.355989
440.00	8.475858	1.079015	732677.660948	20180.852009
441.00	8.436188	1.078730	733044.891394	20212.318393
442.00	8.396546	1.078459	733410.399642	20243.755859
443.00	8.356931	1.078199	733774.186876	20275.165130
444.00	8.317346	1.077951	734136.254369	20306.546929
445.00	8.277795	1.077715	734496.603497	20337.901975
446.00	8.238280	1.077489	734855.235766	20369.230987
447.00	8.198805	1.077274	735212.152830	20400.534680
448.00	8.159374	1.077070	735567.356518	20431.813761
449.00	8.119992	1.076874	735920.848850	20463.068927
450.00	8.080664	1.076687	736272.632060	20494.300869
451.00	8.041396	1.076508	736622.708622	20525.510263
452.00	8.002193	1.076337	736971.081263	20556.697772
453.00	7.963063	1.076173	737317.752987	20587.864044
454.00	7.924013	1.076014	737662.727095	20619.009711
455.00	7.885049	1.075862	738006.007198	20650.135382
456.00	7.846180	1.075713	738347.597235	20681.241647
457.00	7.807414	1.075570	738687.501489	20712.329076
458.00	7.768759	1.075429	739025.724597	20743.398214
459.00	7.730223	1.075291	739362.271562	20774.449582
460.00	7.691815	1.075156	739697.147762	20805.483676
461.00	7.653544	1.075022	740030.358956	20836.500963
462.00	7.615420	1.074889	740361.911288	20867.501885
463.00	7.577450	1.074757	740691.811290	20898.486855
464.00	7.539644	1.074624	741020.065881	20929.456258
465.00	7.502010	1.074491	741346.682366	20960.410452
466.00	7.464558	1.074357	741671.668427	20991.349763
467.00	7.427295	1.074221	741995.032118	21022.274490
468.00	7.390230	1.074084	742316.781854	21053.184899
469.00	7.353371	1.073944	742636.926399	21084.081228
470.00	7.316726	1.073801	742955.474853	21114.963683
471.00	7.280300	1.073656	743272.436631	21145.832437
472.00	7.244102	1.073506	743587.821452	21176.687631
473.00	7.208137	1.073353	743901.639317	21207.529374
474.00	7.172412	1.073196	744213.900487	21238.357740
475.00	7.136931	1.073034	744524.615466	21269.172768
476.00	7.101699	1.072867	744833.794977	21299.974464
477.00	7.066721	1.072694	745141.449940	21330.762794
478.00	7.032000	1.072516	745447.591455	21361.537693
479.00	6.997540	1.072331	745752.230775	21392.299052
480.00	6.963344	1.072140	746055.379291	21423.046728
481.00	6.929414	1.071941	746357.048505	21453.780539
482.00	6.895752	1.071736	746657.250016	21484.500263
483.00	6.862360	1.071522	746955.995497	21515.205639
484.00	6.829238	1.071300	747253.296678	21545.896365
485.00	6.796387	1.071069	747549.165325	21576.572104
486.00	6.763808	1.070830	747843.613226	21607.232474
487.00	6.731500	1.070580	748136.652169	21637.877054
488.00	6.699464	1.070321	748428.293927	21668.505383
489.00	6.667697	1.070052	748718.550238	21699.116961
490.00	6.636198	1.069772	749007.432794	21729.711247
491.00	6.604966	1.069481	749294.953214	21760.287658
492.00	6.573999	1.069179	749581.123034	21790.845578
493.00	6.543294	1.068866	749865.953687	21821.384348
494.00	6.512847	1.068540	750149.456482	21851.903273
495.00	6.482656	1.068203	750431.642588	21882.401619
496.00	6.452717	1.067853	750712.523016	21912.878620
497.00	6.423025	1.067490	750992.108599	21943.333471
498.00	6.393575	1.067115	751270.409972	21973.765337
499.00	6.364363	1.066727	751547.437559	22004.173351
500.00	6.335383	1.066326	751823.201548	22034.556612
501.00	6.306628	1.065913	752097.711880	22064.914193
502.00	6.278094	1.065486	752370.978227	22095.245140
503.00	6.249772	1.065046	752643.009983	22125.548473
504.00	6.221656	1.064593	752913.816243	22155.823189
505.00	6.193739	1.064127	753183.405795	22186.068261
506.00	6.166013	1.063648	753451.787107	22216.282644
507.00	6.138471	1.063157	753718.968320	22246.465276
508.00	6.111104	1.062653	753984.957235	22276.615079
509.00	6.083906	1.062137	754249.761315	22306.730961
510.00	6.056867	1.061609	754513.387677	22336.811817
511.00	6.029980	1.061069	754775.843091	22366.856535
512.00	6.003237	1.060518	755037.133985	22396.863995
513.00	5.976631	1.059955	755297.266447	22426.833071
514.00	5.950153	1.059382	755556.246230	22456.762635
515.00	5.923796	1.058798	755814.078764	22486.651558
516.00	5.897554	1.058204	756070.769161	22516.498709
517.00	5.871419	1.057599	756326.322235	22546.302964
518.00	5.845386	1.056986	756580.742510	22576.063201
519.00	5.819447	1.056362	756834.034242	22605.778304
520.00	5.793597	1.055730	757086.201433	22635.447167
521.00	5.767832	1.055090	757337.247854	22665.068692
522.00	5.742146	1.054440	757587.177064	22694.641792
523.00	5.716536	1.053783	757835.992430	22724.165394
524.00	5.690998	1.053118	758083.697153	22753.638436
525.00	5.665528	1.052446	758330.294286	22783.059871
526.00	5.640125	1.051767	758575.786756	22812.428669
527.00	5.614785	1.051080	758820.177386	22841.743816
528.00	5.589508	1.050387	759063.468917	22871.004315
529.00	5.564292	1.049687	759305.664025	22900.209188
530.00	5.539136	1.048982	759546.765338	22929.357474
531.00	5.514039	1.048270	759786.775456	22958.448233
532.00	5.489002	1.047553	760025.696962	22987.480544
533.00	5.464024	1.046831	760263.532435	23016.453509
534.00	5.439106	1.046103	760500.284462	23045.366251
